Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
A01,38.158,1.5446564285339903,0.05991283053708411,599.1283053708411
A03,44.132,1.3355614973262033,0.05180263272985714,518.0263272985715
C01,44.376000000000005,1.3282179556517035,0.051517797630116616,515.1779763011662
C03,48.489,1.2155540431850524,0.04714788483231363,471.4788483231363
E01,40.359,1.460417750687579,0.05664545176129377,566.4545176129377
E03,38.461999999999996,1.5324476106286726,0.05943928520706296,594.3928520706296
G01,37.169000000000004,1.5857569479942961,0.06150700281508932,615.0700281508932
G03,34.132,1.726854564631431,0.06697977814467525,669.7977814467524
I01,20.756999999999998,2.8395721925133692,0.11013893084906563,1101.3893084906563
I03,36.003,1.6371135738688443,0.06349898029703234,634.9898029703234
K01,34.867,1.6904522901310697,0.06556783742891718,655.6783742891719
K03,44.20399999999999,1.333386118903267,0.051718255986654055,517.1825598665406
M01,23.605,2.4969709807244227,0.09685040405143212,968.5040405143212
M03,46.256,1.274234693877551,0.04942394041062901,494.23940410629007
O01,33.103,1.7805334863909614,0.06906183088040525,690.6183088040525
O03,58.941,1.0,0.03878715643837151,387.8715643837151
