Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
A01,26.112,1.1627221200980393,0.0425693129744483,0.851386259488966
A02,25.876,1.173326634719431,0.042957563007759846,0.8591512601551969
B01,26.842,1.1311005141196633,0.04141159005993569,0.8282318011987139
C01,28.702,1.0578008501149745,0.03872795973760692,0.7745591947521384
C02,27.56,1.1016328011611032,0.04033272497782271,0.8066544995564542
D01,23.281,1.304110648168034,0.047745797018547045,0.9549159403709409
E01,30.361,1.0,0.03661176839988122,0.7322353679976245
E02,28.525,1.064364592462752,0.03896826995228024,0.7793653990456049
F01,25.291,1.2004665691352656,0.04395120400098035,0.879024080019607
G01,30.1,1.008671096345515,0.03692923257105628,0.7385846514211256
G02,28.254,1.0745735117151554,0.03934203653956232,0.7868407307912464
H01,24.336,1.2475756081525313,0.045675949227021444,0.9135189845404289
I01,27.302,1.1120430737674896,0.04071386346746736,0.8142772693493472
I02,27.397,1.108187027776764,0.040572686804715624,0.8114537360943125
J01,25.084,1.2103731462286718,0.0443139013071597,0.8862780261431941
K01,25.772,1.1780614620518393,0.043130913409467404,0.8626182681893481
K02,24.67,1.2306850425618159,0.04505755575147117,0.9011511150294234
L01,28.084,1.0810781939894603,0.03958018446050399,0.7916036892100797
M01,26.943,1.126860409011617,0.04125635231372875,0.825127046274575
M02,25.349,1.1977198311570476,0.04385064106626667,0.8770128213253334
N01,25.203000000000007,1.204658175614014,0.04410466612660372,0.8820933225320744
O01,28.22,1.0758681785967399,0.03938943658358589,0.7877887316717178
O02,27.017,1.1237739201243662,0.04114335049741991,0.8228670099483982
P01,26.68,1.1379685157421289,0.04166303974470741,0.8332607948941483
