Source Well 384,Source Well 96,Source Plate 96,Destination Well,Transfer Volume
D01,B1,3,A1,0.9549159403709409
H01,D1,3,A1,0.9135189845404289
K02,F1,2,A1,0.9011511150294234
J01,E1,3,A1,0.8862780261431941
N01,G1,3,A1,0.8820933225320744
F01,C1,3,A1,0.879024080019607
M02,G1,2,A1,0.8770128213253334
K01,F1,1,A1,0.8626182681893481
A02,A1,2,A1,0.8591512601551969
A01,A1,1,A1,0.851386259488966
P01,H1,3,A1,0.8332607948941483
B01,A1,3,A1,0.8282318011987139
M01,G1,1,A1,0.825127046274575
O02,H1,2,A1,0.8228670099483982
I01,E1,1,A1,0.8142772693493472
I02,E1,2,A1,0.8114537360943125
C02,B1,2,A1,0.8066544995564542
L01,F1,3,A1,0.7916036892100797
O01,H1,1,A1,0.7877887316717178
G02,D1,2,A1,0.7868407307912464
E02,C1,2,A1,0.7793653990456049
C01,B1,1,A1,0.7745591947521384
G01,D1,1,A1,0.7385846514211256
E01,C1,1,A1,0.7322353679976245
