Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
O01,3.6430000000000002,34.363711227010704,0.06452412287324323,19.357236861972968
A22,5.3389999999999995,23.44764937254168,0.04402722974849693,13.20816892454908
C02,6.059,20.66133025251692,0.038795408421723895,11.63862252651717
A23,6.162999999999999,20.312672399805294,0.038140739838913695,11.442221951674108
A04,6.522,19.19457221711132,0.03604130322404556,10.812390967213666
C24,7.742000000000001,16.169852751227072,0.030361841853167794,9.108552555950338
C16,8.183,15.298423561041185,0.028725574926949174,8.617672478084753
G16,8.639,14.490913300150483,0.027209327425306764,8.16279822759203
A16,14.372,8.710478708600057,0.016355509297747362,4.906652789324209
K16,19.277,6.494112154380868,0.012193877658724131,3.6581632976172394
I20,19.402,6.452272961550356,0.01211531695841795,3.634595087525385
G22,21.366,5.859168772816625,0.011001655884453109,3.3004967653359327
C22,24.677,5.0730234631438185,0.009525524967671317,2.857657490301395
I04,25.851999999999997,4.842449326937955,0.0090925800567548,2.72777401702644
I16,26.518,4.720831133569651,0.008864219761189573,2.659265928356872
I12,26.750999999999998,4.679712907928677,0.008787012808015592,2.636103842404678
K14,27.279,4.589134499065215,0.008616935357865944,2.5850806073597834
G08,27.412,4.566868524733694,0.00857512693810102,2.572538081430306
I14,29.37,4.26241062308478,0.008003451808894281,2.4010355426682843
A01,30.185,4.147324830213683,0.0077873572843208585,2.3362071852962574
C12,30.799,4.064644956005066,0.007632110770714151,2.2896332312142453
C14,31.233,4.008164441456152,0.00752605832379935,2.257817497139805
G14,31.906999999999996,3.923496411445765,0.007367078685781337,2.210123605734401
I08,32.475,3.8548729792147807,0.0072382257006073925,2.1714677101822177
I22,32.717,3.8263593850291904,0.007184686237345268,2.1554058712035804
K12,33.235,3.7667218293967206,0.007072705871136606,2.121811761340982
A06,34.156,3.665153999297342,0.006881993782270321,2.064598134681096
A18,34.169000000000004,3.66375954812842,0.006879375446376103,2.0638126339128307
G20,34.894,3.58763684301026,0.0067364412113035226,2.020932363391057
I18,35.718,3.50487149336469,0.006581034202005294,1.974310260601588
G24,36.027,3.474810558747606,0.006524589325428848,1.9573767976286542
G10,36.063,3.471341818484319,0.00651807613418809,1.9554228402564269
E16,36.395,3.4396757796400603,0.006458617382256493,1.9375852146769479
E24,36.894,3.393153358269638,0.00637126306790332,1.911378920370996
I24,37.223,3.3631625607823126,0.006314949886554687,1.894484965966406
O17,37.264,3.3594622155431515,0.0063080018148138975,1.8924005444441692
O05,37.293,3.35684981095648,0.006303096549680237,1.8909289649040713
G02,37.341,3.352534747328674,0.006294994232270831,1.8884982696812493
A20,39.97,3.1320240180135106,0.005880945199580313,1.7642835598740938
O03,41.192,3.0391095358322007,0.005706481346553338,1.7119444039660014
K20,41.777,2.99655312731886,0.005626573943251672,1.6879721829755017
G18,41.952,2.9840532036613276,0.005603103061289691,1.6809309183869072
K06,42.011,2.9798624169860277,0.0055952340964800906,1.6785702289440272
O23,42.225,2.9647602131438724,0.005566876959792187,1.6700630879376561
I02,42.306999999999995,2.9590138747724968,0.00555608716352436,1.666826149057308
C06,43.38,2.88582295988935,0.005418657898276281,1.6255973694828842
G04,43.788000000000004,2.8589339545080845,0.00536816889620958,1.610450668862874
A14,44.151,2.8354284161174155,0.005324032969292317,1.597209890787695
I10,44.692,2.801105343238164,0.005259585152314175,1.5778755456942526
O21,44.693000000000005,2.80104266887432,0.005259467469787776,1.5778402409363328
M21,45.093,2.7761958618854368,0.005212813066933339,1.5638439200800018
