Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
A01,10.003,2.083275017494752,0.03614537657375042,361.4537657375042
A03,12.162,1.713451734912021,0.029728844093670895,297.2884409367089
A05,2.474,8.4232012934519,0.14614478652676857,1461.4478652676858
C01,9.049,2.302906398497072,0.039956039547709744,399.5603954770974
C03,20.839000000000002,1.0,0.017350266417161354,173.50266417161353
C05,18.623,1.118992643505343,0.019414820483661357,194.14820483661356
E01,9.261000000000001,2.250188964474679,0.0390413780225921,390.413780225921
E03,14.809000000000001,1.4071848200418664,0.024415031525911637,244.15031525911638
E05,17.53,1.1887621220764404,0.02062533952465633,206.2533952465633
G01,14.732999999999999,1.4144437656960567,0.024540976166919533,245.40976166919532
G03,16.43,1.2683505782105906,0.022006220442314393,220.06220442314392
G05,15.414000000000001,1.351952770208901,0.023456740746543754,234.56740746543755
I01,15.424000000000001,1.351076244813278,0.02344153279740829,234.41532797408289
I03,17.934,1.1619828259172522,0.020160711601830347,201.6071160183035
I05,18.285,1.139677331145748,0.01977370532497815,197.73705324978152
K01,10.942,1.9044964357521479,0.03304352055083398,330.43520550833983
K03,19.118,1.0900198765561253,0.018912135258250105,189.12135258250106
K05,14.077,1.4803580308304327,0.025684606227692367,256.84606227692365
M01,3.846,5.418356734269371,0.09400993288279393,940.0993288279393
M03,7.1739999999999995,2.9047950933928077,0.05039896875762831,503.9896875762831
M05,3.0189999999999997,6.902616760516729,0.11976223977052848,1197.6223977052848
O01,11.55,1.8042424242424244,0.03130408674175112,313.0408674175112
O03,13.115,1.5889439573008008,0.027568600981107548,275.6860098110755
O05,3.883,5.366726757661603,0.09311413903353734,931.1413903353733
