Sample Well ID,Sample Concentration,Sample Calculated Weight,Sample Calculated Weight Normalised,Sample Calculated Volume In Pool
A01,0.728,20.80082417582418,0.30595662671667123,3059.5662671667124
A03,1.482,10.217948717948719,0.15029448329941744,1502.9448329941745
C01,4.418,3.427569035762789,0.050415668684865696,504.15668684865693
C03,9.04,1.6751106194690268,0.024638984983377948,246.38984983377946
E01,7.652,1.9789597490852064,0.029108262447691664,291.08262447691664
E03,8.879,1.7054848518977364,0.02508575563123512,250.85755631235122
G01,8.336,1.8165786948176583,0.02671982056738683,267.1982056738683
G03,9.146,1.6556964793352285,0.024353424912501268,243.53424912501268
I01,6.48,2.3368827160493826,0.034372904976811204,343.729049768112
I03,4.415,3.429898074745187,0.05044992621738089,504.4992621738089
K01,9.32,1.6247854077253219,0.023898757966709937,238.98757966709937
K03,8.326,1.8187605092481383,0.026751912593050275,267.51912593050275
M01,13.014,1.1635930536345476,0.017115139407540853,171.15139407540852
M03,13.151,1.1514713709984032,0.01693684314878995,169.3684314878995
O01,1.243,12.182622687047465,0.17919261806093048,1791.9261806093048
O03,15.143,1.0,0.014708870385639346,147.08870385639347
