Sample Well ID,Sample Concentration,Comment
A07,-1.875,Sample has negative value for concentration
A09,-2.227,Sample has negative value for concentration
A11,-2.371,Sample has negative value for concentration
A13,-2.186,Sample has negative value for concentration
A15,-2.292,Sample has negative value for concentration
A17,-2.439,Sample has negative value for concentration
A19,-2.412,Sample has negative value for concentration
A21,-2.245,Sample has negative value for concentration
A23,-2.617,Sample has negative value for concentration
C07,-2.21,Sample has negative value for concentration
C09,-2.589,Sample has negative value for concentration
C11,-2.474,Sample has negative value for concentration
C13,-2.436,Sample has negative value for concentration
C15,-2.551,Sample has negative value for concentration
C17,-2.699,Sample has negative value for concentration
C19,-2.531,Sample has negative value for concentration
C21,-2.661,Sample has negative value for concentration
C23,-2.699,Sample has negative value for concentration
E07,-2.5580000000000003,Sample has negative value for concentration
E09,-2.707,Sample has negative value for concentration
E11,-2.727,Sample has negative value for concentration
E13,-2.752,Sample has negative value for concentration
E15,-2.862,Sample has negative value for concentration
E17,-2.864,Sample has negative value for concentration
E19,-2.734,Sample has negative value for concentration
E21,-2.665,Sample has negative value for concentration
E23,-2.714,Sample has negative value for concentration
G07,-2.511,Sample has negative value for concentration
G09,-2.819,Sample has negative value for concentration
G11,-2.812,Sample has negative value for concentration
G13,-2.87,Sample has negative value for concentration
G15,-3.0180000000000002,Sample has negative value for concentration
G17,-3.029,Sample has negative value for concentration
G19,-2.927,Sample has negative value for concentration
G21,-2.7680000000000002,Sample has negative value for concentration
G23,-2.6319999999999997,Sample has negative value for concentration
I07,-2.65,Sample has negative value for concentration
I09,-2.7569999999999997,Sample has negative value for concentration
I11,-2.86,Sample has negative value for concentration
I13,-2.9930000000000003,Sample has negative value for concentration
I15,-2.9010000000000002,Sample has negative value for concentration
I17,-2.905,Sample has negative value for concentration
I19,-2.88,Sample has negative value for concentration
I21,-2.822,Sample has negative value for concentration
I23,-2.7119999999999997,Sample has negative value for concentration
K07,-2.444,Sample has negative value for concentration
K09,-2.9360000000000004,Sample has negative value for concentration
K11,-2.781,Sample has negative value for concentration
K13,-2.99,Sample has negative value for concentration
K15,-2.863,Sample has negative value for concentration
K17,-3.048,Sample has negative value for concentration
K19,-2.883,Sample has negative value for concentration
K21,-2.877,Sample has negative value for concentration
K23,-2.88,Sample has negative value for concentration
M07,-2.405,Sample has negative value for concentration
M09,-2.718,Sample has negative value for concentration
M11,-2.844,Sample has negative value for concentration
M13,-2.878,Sample has negative value for concentration
M15,-2.89,Sample has negative value for concentration
M17,-2.827,Sample has negative value for concentration
M19,-2.853,Sample has negative value for concentration
M21,-2.8139999999999996,Sample has negative value for concentration
M23,-2.786,Sample has negative value for concentration
O07,-2.048,Sample has negative value for concentration
O09,-2.658,Sample has negative value for concentration
O11,-2.418,Sample has negative value for concentration
O13,-2.37,Sample has negative value for concentration
O15,-2.427,Sample has negative value for concentration
O17,-2.568,Sample has negative value for concentration
O19,-2.334,Sample has negative value for concentration
O21,-2.3169999999999997,Sample has negative value for concentration
O23,-2.278,Sample has negative value for concentration
