Sample Well ID,Sample Concentration,Comment
A03,-0.863,Sample has negative value for concentration
A05,-0.838,Sample has negative value for concentration
A07,-0.8140000000000001,Sample has negative value for concentration
A09,-0.9620000000000001,Sample has negative value for concentration
A11,-0.961,Sample has negative value for concentration
A13,-1.09,Sample has negative value for concentration
A15,-0.9490000000000001,Sample has negative value for concentration
A17,-0.977,Sample has negative value for concentration
A19,-1.047,Sample has negative value for concentration
A21,-1.043,Sample has negative value for concentration
A23,-1.114,Sample has negative value for concentration
C03,-1.074,Sample has negative value for concentration
C05,-1.03,Sample has negative value for concentration
C07,-1.074,Sample has negative value for concentration
C09,-1.148,Sample has negative value for concentration
C11,-1.157,Sample has negative value for concentration
C13,-1.188,Sample has negative value for concentration
C15,-1.268,Sample has negative value for concentration
C17,-1.2570000000000001,Sample has negative value for concentration
C19,-1.237,Sample has negative value for concentration
C21,-1.2409999999999999,Sample has negative value for concentration
C23,-1.2009999999999998,Sample has negative value for concentration
E03,-1.1840000000000002,Sample has negative value for concentration
E05,-1.109,Sample has negative value for concentration
E07,-1.173,Sample has negative value for concentration
E09,-1.358,Sample has negative value for concentration
E11,-1.183,Sample has negative value for concentration
E13,-1.3219999999999998,Sample has negative value for concentration
E15,-1.3019999999999998,Sample has negative value for concentration
E17,-1.161,Sample has negative value for concentration
E19,-1.276,Sample has negative value for concentration
E21,-1.2690000000000001,Sample has negative value for concentration
E23,-1.2,Sample has negative value for concentration
G03,-1.287,Sample has negative value for concentration
G05,-1.229,Sample has negative value for concentration
G07,-1.12,Sample has negative value for concentration
G09,-1.395,Sample has negative value for concentration
G11,-1.271,Sample has negative value for concentration
G13,-1.3430000000000002,Sample has negative value for concentration
G15,-1.308,Sample has negative value for concentration
G17,-1.281,Sample has negative value for concentration
G19,-1.375,Sample has negative value for concentration
G21,-1.228,Sample has negative value for concentration
G23,-1.063,Sample has negative value for concentration
I03,-1.22,Sample has negative value for concentration
I05,-1.238,Sample has negative value for concentration
I07,-1.32,Sample has negative value for concentration
I09,-1.29,Sample has negative value for concentration
I11,-1.385,Sample has negative value for concentration
I13,-1.324,Sample has negative value for concentration
I15,-1.286,Sample has negative value for concentration
I17,-1.2930000000000001,Sample has negative value for concentration
I19,-1.31,Sample has negative value for concentration
I21,-1.337,Sample has negative value for concentration
I23,-1.151,Sample has negative value for concentration
K03,-1.192,Sample has negative value for concentration
K05,-1.244,Sample has negative value for concentration
K07,-1.112,Sample has negative value for concentration
K09,-1.318,Sample has negative value for concentration
K11,-1.2570000000000001,Sample has negative value for concentration
K13,-1.39,Sample has negative value for concentration
K15,-1.39,Sample has negative value for concentration
K17,-1.345,Sample has negative value for concentration
K19,-1.274,Sample has negative value for concentration
K21,-1.2329999999999999,Sample has negative value for concentration
K23,-1.192,Sample has negative value for concentration
M03,-1.161,Sample has negative value for concentration
M05,-1.115,Sample has negative value for concentration
M07,-1.262,Sample has negative value for concentration
M09,-1.274,Sample has negative value for concentration
M11,-1.34,Sample has negative value for concentration
M13,-1.315,Sample has negative value for concentration
M15,-1.328,Sample has negative value for concentration
M17,-1.2890000000000001,Sample has negative value for concentration
M19,-1.2329999999999999,Sample has negative value for concentration
M21,-1.2770000000000001,Sample has negative value for concentration
M23,-1.115,Sample has negative value for concentration
O03,-1.073,Sample has negative value for concentration
O05,-1.185,Sample has negative value for concentration
O07,-1.169,Sample has negative value for concentration
O09,-1.21,Sample has negative value for concentration
O11,-1.179,Sample has negative value for concentration
O13,-1.113,Sample has negative value for concentration
O15,-1.103,Sample has negative value for concentration
O17,-1.165,Sample has negative value for concentration
O19,-1.103,Sample has negative value for concentration
O21,-0.985,Sample has negative value for concentration
O23,-1.011,Sample has negative value for concentration
O01,28.108,Volume to be pipetted for this well (0.4997118126116194 nL) is smaller than pipetting capacity (0.5 nL). You MUST reprocess the file
