Sample Well ID,Sample Concentration,Comment
A05,-0.10800000000000001,Sample has negative value for concentration
A07,-0.948,Sample has negative value for concentration
A09,-0.924,Sample has negative value for concentration
A11,-0.9840000000000001,Sample has negative value for concentration
A13,-1.078,Sample has negative value for concentration
A15,-1.054,Sample has negative value for concentration
A17,-1.022,Sample has negative value for concentration
A19,-1.0170000000000001,Sample has negative value for concentration
A21,-1.001,Sample has negative value for concentration
A23,-1.044,Sample has negative value for concentration
C05,-0.182,Sample has negative value for concentration
C07,-0.9129999999999999,Sample has negative value for concentration
C09,-0.945,Sample has negative value for concentration
C11,-0.938,Sample has negative value for concentration
C13,-1.084,Sample has negative value for concentration
C15,-1.016,Sample has negative value for concentration
C17,-0.9990000000000001,Sample has negative value for concentration
C19,-1.055,Sample has negative value for concentration
C21,-1.123,Sample has negative value for concentration
C23,-1.046,Sample has negative value for concentration
E05,-0.20800000000000002,Sample has negative value for concentration
E07,-0.9159999999999999,Sample has negative value for concentration
E09,-1.003,Sample has negative value for concentration
E11,-1.002,Sample has negative value for concentration
E13,-1.048,Sample has negative value for concentration
E15,-0.8959999999999999,Sample has negative value for concentration
E17,-1.099,Sample has negative value for concentration
E19,-1.043,Sample has negative value for concentration
E21,-1.01,Sample has negative value for concentration
E23,-1.0490000000000002,Sample has negative value for concentration
G05,-0.136,Sample has negative value for concentration
G07,-0.951,Sample has negative value for concentration
G09,-0.9520000000000001,Sample has negative value for concentration
G11,-0.9440000000000001,Sample has negative value for concentration
G13,-0.9840000000000001,Sample has negative value for concentration
G15,-0.9209999999999999,Sample has negative value for concentration
G17,-0.9620000000000001,Sample has negative value for concentration
G19,-0.988,Sample has negative value for concentration
G21,-0.99,Sample has negative value for concentration
G23,-0.961,Sample has negative value for concentration
I05,-0.136,Sample has negative value for concentration
I07,-0.86,Sample has negative value for concentration
I09,-0.9179999999999999,Sample has negative value for concentration
I11,-0.904,Sample has negative value for concentration
I13,-0.893,Sample has negative value for concentration
I15,-0.987,Sample has negative value for concentration
I17,-0.892,Sample has negative value for concentration
I19,-0.9620000000000001,Sample has negative value for concentration
I21,-1.008,Sample has negative value for concentration
I23,-1.063,Sample has negative value for concentration
K05,-0.177,Sample has negative value for concentration
K07,-0.972,Sample has negative value for concentration
K09,-0.889,Sample has negative value for concentration
K11,-0.97,Sample has negative value for concentration
K13,-1.018,Sample has negative value for concentration
K15,-0.9540000000000001,Sample has negative value for concentration
K17,-0.992,Sample has negative value for concentration
K19,-0.948,Sample has negative value for concentration
K21,-0.909,Sample has negative value for concentration
K23,-1.0659999999999998,Sample has negative value for concentration
M05,-0.222,Sample has negative value for concentration
M07,-0.863,Sample has negative value for concentration
M09,-0.9840000000000001,Sample has negative value for concentration
M11,-0.932,Sample has negative value for concentration
M13,-0.973,Sample has negative value for concentration
M15,-0.956,Sample has negative value for concentration
M17,-0.94,Sample has negative value for concentration
M19,-1.054,Sample has negative value for concentration
M21,-1.006,Sample has negative value for concentration
M23,-1.104,Sample has negative value for concentration
O05,-0.174,Sample has negative value for concentration
O07,-0.8859999999999999,Sample has negative value for concentration
O09,-0.968,Sample has negative value for concentration
O11,-0.905,Sample has negative value for concentration
O13,-1.032,Sample has negative value for concentration
O15,-0.958,Sample has negative value for concentration
O17,-0.924,Sample has negative value for concentration
O19,-0.958,Sample has negative value for concentration
O21,-1.001,Sample has negative value for concentration
O23,-1.045,Sample has negative value for concentration
